"IDOferty","CenaPLN","KM","Marka","Model","LiczbaDrzwi","PojemnoscSkokowa","PrzebiegKm","RodzajPaliwa","RokProdukcji","Kolor","KrajPochodzenia","PojazdUszkodzony","SkrzyniaBiegow"
228,13000,115,"Ford","Mondeo","4/5",1998,277000,"olej napędowy (diesel)",2004,"grafitowy-metallic","Francja","Nie","manualna"
229,87900,136,"Ford","Kuga","4/5",1997,41000,"olej napędowy (diesel)",2009,"czarny-metallic","Polska","Nie","manualna"
230,28600,170,"Audi","A3","2/3",2000,170000,"olej napędowy (diesel)",2004,"niebieski-metallic","Niemcy","Nie","manualna"
232,29200,120,"Opel","Vectra","4/5",1900,152000,"olej napędowy (diesel)",2005,"czarny-metallic","Niemcy","Nie","manualna"
233,15500,64,"Skoda","Fabia","4/5",1198,94000,"benzyna",2004,"bordowy-metallic","Polska","Nie","manualna"
234,149900,200,"Audi","Q7","4/5",3000,79000,"olej napędowy (diesel)",2007,"czarny-metallic","Niemcy","Nie","automatyczna"
235,20900,110,"Audi","A3","2/3",1900,188000,"olej napędowy (diesel)",2001,"srebrny-metallic","Niemcy","Nie","manualna"
236,53000,140,"Audi","A6","4/5",1968,185000,"olej napędowy (diesel)",2006,"czarny-metallic","Niemcy","Nie","manualna"
237,36500,115,"Ford","Focus","4/5",1753,125714,"olej napędowy (diesel)",2008,"bordowy-metallic","Polska","Nie","manualna"
238,115000,330,"BMW","745","4/5",4500,150000,"olej napędowy (diesel)",2007,"granatowy","Niemcy","Nie","automatyczna"
239,40900,130,"Renault","Laguna","4/5",1995,109000,"olej napędowy (diesel)",2008,"srebrny-metallic","Polska","Nie","manualna"
240,25500,105,"Opel","Vectra","4/5",1600,199000,"benzyna",2008,"czarny-metallic","Polska","Nie","manualna"
241,24700,109,"Ford","Focus","4/5",1560,143000,"olej napędowy (diesel)",2005,"grafitowy-metallic","Francja","Nie","manualna"
242,25900,150,"Opel","Vectra","4/5",1900,109000,"olej napędowy (diesel)",2006,"bordowy-metallic","Polska","Nie","manualna"
243,27900,100,"Ford","Focus","4/5",1600,55000,"benzyna",2008,"srebrny-metallic","Polska","Nie","manualna"
244,73000,272,"BMW","535","4/5",2993,177000,"olej napędowy (diesel)",2005,"srebrny-metallic","Polska","Nie","automatyczna"
245,29500,136,"Peugeot","407","4/5",1997,208000,"olej napędowy (diesel)",2007,"bialy","Niemcy","Nie","manualna"
246,77500,163,"BMW","520","4/5",1995,135400,"olej napędowy (diesel)",2007,"granatowy-metallic","Niemcy","Nie","automatyczna"
